"Date","Actual","Forcast","Previous","forcast_change","prev_day_volume","daily_return","vix_prev_day","CPI_YoY","GDP_YoY","PCE_YoY","un_rate"
2000-02-02,5.75,NA,5.5,NA,8419900,0.0887049956753039,-1.40724909581917,3.21797207043109,NA,NA,4.1
2000-03-21,6,NA,5.75,NA,12502300,2.05208087077218,-5.48779778647862,3.7621359223301,NA,NA,4
2000-05-16,6.5,NA,6,NA,4441300,0.968018637176105,-2.09171538614986,3.13253012048191,NA,NA,4
2001-01-03,6,NA,6.5,NA,8737500,4.80351188446353,-11.3037659737269,3.72120496160659,2.19750518567068,NA,4.2
2001-01-31,5.5,NA,6,NA,7069100,-0.566041619848157,-2.43685974522487,3.72120496160659,2.19750518567068,NA,4.2
2001-03-20,5,NA,5.5,NA,10067800,-2.68429125687991,3.96238539496174,2.98245614035086,NA,NA,4.3
2001-04-18,4.5,NA,5,NA,10924700,3.97453711883364,-5.77899810352501,3.21825629022821,0.99629832704311,NA,4.4
2001-05-15,4,NA,4.5,NA,7914000,0.462507784833166,-2.26711104377648,3.56308411214954,NA,NA,4.3
2001-06-27,3.75,NA,4,NA,8005800,-0.0575591363067174,-1.50944146536192,3.19396051103369,NA,NA,4.5
2001-08-21,3.5,NA,3.75,NA,10417400,-1.70581990230176,6.68998129931053,2.72148233931675,NA,NA,4.9
2001-09-17,3,NA,3.5,NA,23408700,-5.22485160841534,NA,2.5921658986175,NA,NA,5
2001-10-02,2.5,NA,3,NA,20457400,1.25636275851564,-3.52722586761348,2.12765957446808,0.167318293731489,NA,5.3
2001-11-06,2,NA,2.5,NA,15929500,1.5540272931496,-5.57377299324411,1.894374282434,NA,NA,5.5
2001-12-11,1.75,NA,2,NA,13862700,-0.201065757607333,-1.2490304125315,1.60366552119131,NA,NA,5.7
2002-11-06,1.25,NA,1.75,NA,37270800,1.29552565545585,-1.60102467924723,2.25352112676056,NA,NA,5.9
2003-06-25,1,NA,1.25,NA,36213600,-1.00491747283935,0.289154052734375,1.9487750556793,NA,NA,6.3
2004-06-30,1.25,NA,1,NA,28418100,0.535470676851069,-7.30446085931418,3.16766794101584,NA,NA,5.6
2004-08-10,1.5,NA,1.25,NA,37476300,1.28972840423307,-7.51720551707425,2.54742547425473,NA,NA,5.4
2004-09-21,1.75,NA,1.5,NA,37149400,0.435641342116955,-5.33610839555898,2.53916801728795,NA,NA,5.4
2004-11-10,2,NA,1.75,NA,44658100,0.076982484675403,-3.89419358075566,3.62162162162161,NA,NA,5.4
2004-12-14,2.25,NA,2,NA,38541000,0.348945033389891,1.51514817353495,3.34231805929919,NA,NA,5.4
2005-02-02,2.5,NA,2.25,NA,49841200,0.302756426630757,-3.07564333975009,3.05302624531334,NA,NA,5.4
2005-03-22,2.75,NA,2.5,NA,61244300,-1.01607820085128,4.84938146756397,3.20684126135757,NA,NA,5.2
2005-05-03,3,NA,2.75,NA,56026400,0.171882661940215,-3.90211744083009,2.86928799149841,NA,NA,5.1
2005-06-30,3.25,NA,3,NA,42316500,-0.542456867541796,2.29396341196622,2.54102699841185,NA,NA,5
2005-08-09,3.5,NA,3.25,NA,47616000,0.603325230626939,-6.13172155395635,3.64693446088795,NA,NA,4.9
2005-09-20,3.75,NA,3.5,NA,53355300,-0.844903070568859,4.11861602849961,4.74183350895681,NA,NA,5
2005-11-01,4,NA,3.75,NA,77698900,0.299664058714977,-3.06788069658565,3.33854981742305,NA,NA,5
2005-12-13,4.25,NA,4,NA,48389900,0.680117668001823,-3.13862774167849,3.33854981742305,NA,NA,4.9
2006-01-31,4.5,NA,4.25,NA,33709600,-0.731878696818522,4.51976957566573,4.01878914405012,3.2131067957182,NA,4.7
2006-03-28,4.75,NA,4.5,NA,32523000,-0.615305766273611,1.04711941675077,3.4179181771103,NA,NA,4.7
2006-05-10,5,NA,4.75,NA,29864000,-0.052798633251494,-1.75145990121557,3.97727272727273,NA,NA,4.6
2006-06-29,5.25,NA,5,NA,62368100,2.02003538966029,-17.47941884452,4.18172431595252,NA,NA,4.6
2007-09-18,4.75,NA,5.25,NA,109870800,2.94396681841116,-23.1495440586737,2.83382642998027,NA,NA,4.7
2007-10-31,4.5,NA,4.75,NA,132981600,1.03876200209063,-12.055050047308,3.61069836552748,2.13336468245786,NA,4.7
2007-12-11,4.25,NA,4.5,NA,123914300,-2.74196206916849,13.7415641895934,4.10881339241753,NA,NA,5
2008-01-22,3.5,NA,4.25,NA,348561500,-1.01467728823551,NA,4.29469565516598,1.39247120551853,NA,5
2008-01-30,3,NA,3.5,NA,168968300,-0.73574161860539,1.09810083367612,4.29469565516598,1.39247120551853,1.36123781414901,5
